id	village	rus_village	village_altnames	lat	lon	coord_source	settlement_type	lang	aff	family	republic	region	elevation	kutans	source	page	dialect_toplevel	dialect_toplevel_cyr	dialect_nt1	dialect_nt1_cyr	dialect_nt2	dialect_nt2_cyr	dialect_nt3	dialect_nt3_cyr	village_dialect	gltl_village_dialect	gltc_village_dialect	gltl_dialect	gltc_dialect	gltc_lang	lang_col	aff_col	dialect_comment	villagelang_comment	manual	version
13	Yarkug	Яркуг	NA	41.79814	47.68435	Legacy data	NA	Agul	Lezgic	East Caucasian	Daghestan	NA	1696.74658203125	FALSE	maisak2014	377	Central Agul	Центральный	NA	NA	NA	NA	NA	NA	Yarkug	NA	NA	Agul	agul1244	aghu1253	#00cc66	#00cc66	NA	NA	no	2022-06-02
14	Burkikhan	Буркихан	NA	41.806356	47.538467	Legacy data	NA	Agul	Lezgic	East Caucasian	Daghestan	NA	1917.41918945313	FALSE	magometov1970	194-233	Burkikhan	Буркиханский	NA	NA	NA	NA	NA	NA	Burkikhan	NA	NA	NA	NA	aghu1253	#00cc66	#00cc66	NA	NA	no	2022-06-02
15	Misi	Миси	NA	41.80991	47.60329	Legacy data	NA	Agul	Lezgic	East Caucasian	Daghestan	NA	1813.03881835938	FALSE	maisak2014	377	Central Agul	Центральный	NA	NA	NA	NA	NA	NA	Misi	NA	NA	Agul	agul1244	aghu1253	#00cc66	#00cc66	NA	NA	no	2022-06-02
16	Kurag	Кураг	NA	41.836764	47.661351	Legacy data	NA	Agul	Lezgic	East Caucasian	Daghestan	NA	1823.28076171875	FALSE	magometov1970	194-233	Kurag	Курагский	NA	NA	NA	NA	NA	NA	Kurag	NA	NA	NA	NA	aghu1253	#00cc66	#00cc66	NA	NA	no	2022-06-02
17	Khudig	Худиг	NA	41.85373	47.65854	Legacy data	NA	Agul	Lezgic	East Caucasian	Daghestan	NA	1964.59118652344	FALSE	magometov1970	194-233	Koshan	Кошанский	NA	NA	NA	NA	NA	NA	Khudig	NA	NA	Koshan	kosh1245	aghu1253	#00cc66	#00cc66	NA	NA	no	2022-06-02
18	Arsug	Арсуг	NA	41.86408	47.65011	Legacy data	NA	Agul	Lezgic	East Caucasian	Daghestan	NA	1990.76062011719	FALSE	magometov1970	194-233	Koshan	Кошанский	NA	NA	NA	NA	NA	NA	Arsug	NA	NA	Koshan	kosh1245	aghu1253	#00cc66	#00cc66	NA	NA	no	2022-06-02
19	Burshag	Буршаг	NA	41.89626	47.64102	Legacy data	NA	Agul	Lezgic	East Caucasian	Daghestan	NA	2223.83544921875	FALSE	magometov1970	194-233	Koshan	Кошанский	NA	NA	NA	NA	NA	NA	Burshag	NA	NA	Koshan	kosh1245	aghu1253	#00cc66	#00cc66	NA	NA	no	2022-06-02
20	Tsirkhe	Цирхе	NA	41.91513	47.59679	Legacy data	NA	Agul	Lezgic	East Caucasian	Daghestan	NA	2062.8837890625	FALSE	magometov1970	194-233	Tsirkhe	Цирхекский	NA	NA	NA	NA	NA	NA	Tsirkhe	NA	NA	NA	NA	aghu1253	#00cc66	#00cc66	NA	NA	no	2022-06-02
21	Gelinbatan	Гелинбатан	NA	41.94722	48.16722	Legacy data	NA	Agul	Lezgic	East Caucasian	Daghestan	NA	265.338439941406	FALSE	maisak2014	377	Fite	Фитинский	NA	NA	NA	NA	NA	NA	Gelinbatan	NA	NA	NA	NA	aghu1253	#00cc66	#00cc66	NA	NA	no	2022-06-02
23	Ratlub	Ратлуб	NA	42.359268	46.433433	Legacy data	NA	Akhvakh	Andic	East Caucasian	Daghestan	NA	1581.42468261719	FALSE	creissels2012	128	Southern Akhvakh	Южноахвахский	NA	NA	NA	NA	NA	NA	Ratlub	Ratlub	ratl1234	Southern Akhvakh	sout3319	akhv1239	#9900ff	#9900ff	NA	NA	no	2022-06-02
24	Tsekob	Цекоб	NA	42.422785	46.450219	Legacy data	NA	Akhvakh	Andic	East Caucasian	Daghestan	NA	1613.07263183594	FALSE	creissels2012	128	Southern Akhvakh	Южноахвахский	NA	NA	NA	NA	NA	NA	Tsekob	Cegob	cego1234	Southern Akhvakh	sout3319	akhv1239	#9900ff	#9900ff	NA	NA	no	2022-06-02
25	Tlyanub	Тлянуб	NA	42.43568	46.45745	Legacy data	NA	Akhvakh	Andic	East Caucasian	Daghestan	NA	1645.93200683594	FALSE	creissels2012	128	Southern Akhvakh	Южноахвахский	NA	NA	NA	NA	NA	NA	Tlyanub	Tljanub	tlja1234	Southern Akhvakh	sout3319	akhv1239	#9900ff	#9900ff	NA	NA	no	2022-06-02
26	Lologonitl'	Лологонитль	NA	42.51398	46.33093	Legacy data	NA	Akhvakh	Andic	East Caucasian	Daghestan	NA	1975.88134765625	FALSE	creissels2012	128	Northern Akhvakh	Северноахвахский	NA	NA	NA	NA	NA	NA	Lologonitl'	NA	NA	Northern Akhvakh	nort3330	akhv1239	#9900ff	#9900ff	NA	NA	no	2022-06-02
27	Izano	Изано	NA	42.52735	46.40389	Legacy data	NA	Akhvakh	Andic	East Caucasian	Daghestan	NA	1823.7587890625	FALSE	creissels2012	128	Northern Akhvakh	Северноахвахский	NA	NA	NA	NA	NA	NA	Izano	NA	NA	Northern Akhvakh	nort3330	akhv1239	#9900ff	#9900ff	NA	NA	no	2022-06-02
28	Kudiyabroso	Кудиябросо	NA	42.541069	46.377932	Legacy data	NA	Akhvakh	Andic	East Caucasian	Daghestan	NA	1566.51831054688	FALSE	creissels2012	128	Northern Akhvakh	Северноахвахский	NA	NA	NA	NA	NA	NA	Kudiyabroso	NA	NA	Northern Akhvakh	nort3330	akhv1239	#9900ff	#9900ff	NA	NA	no	2022-06-02
29	Tad-Magitl'	Тад-магитль	NA	42.550266	46.348953	Legacy data	NA	Akhvakh	Andic	East Caucasian	Daghestan	NA	1443.89916992188	FALSE	creissels2012	128	Northern Akhvakh	Северноахвахский	NA	NA	NA	NA	NA	NA	Tad-Magitl'	NA	NA	Northern Akhvakh	nort3330	akhv1239	#9900ff	#9900ff	NA	NA	no	2022-06-02
30	Tsvakilkolo	Цвакилколо	NA	42.55213	46.35351	Legacy data	NA	Akhvakh	Andic	East Caucasian	Daghestan	NA	1337.95275878906	FALSE	NA	NA	Northern Akhvakh	Северноахвахский	NA	NA	NA	NA	NA	NA	Tsvakilkolo	NA	NA	Northern Akhvakh	nort3330	akhv1239	#9900ff	#9900ff	NA	NA	no	2022-06-02
31	Kvankero	Кванкеро	NA	42.55244	46.3404	Legacy data	NA	Akhvakh	Andic	East Caucasian	Daghestan	NA	1359.33947753906	FALSE	NA	NA	Northern Akhvakh	Северноахвахский	NA	NA	NA	NA	NA	NA	Kvankero	NA	NA	Northern Akhvakh	nort3330	akhv1239	#9900ff	#9900ff	NA	NA	no	2022-06-02
32	Kamyshkutan	Камышкутан	NA	43.500222	46.621832	Legacy data	NA	Akhvakh	Andic	East Caucasian	Daghestan	NA	8.03595638275147	TRUE	creissels2012	128	Northern Akhvakh	Северноахвахский	NA	NA	NA	NA	NA	NA	Kamyshkutan	NA	NA	Northern Akhvakh	nort3330	akhv1239	#9900ff	#9900ff	NA	NA	no	2022-06-02
33	Kvankhidatl'	Кванхидатль	NA	42.65789	46.271742	Legacy data	NA	Andi	Andic	East Caucasian	Daghestan	NA	714.97412109375	FALSE	sulejmanov1957	7	Lower Andi	Нижнеандийский	NA	NA	NA	NA	NA	NA	Kvankhidatli	Kvanxidatl	kvan1238	NA	NA	andi1255	#003366	#9900ff	NA	NA	no	2022-06-02
34	Muni	Муни	NA	42.680242	46.308874	Legacy data	NA	Andi	Andic	East Caucasian	Daghestan	NA	714.581481933594	FALSE	sulejmanov1957	7	Lower Andi	Нижнеандийский	NA	NA	NA	NA	NA	NA	Muni	Munin	muni1255	NA	NA	andi1255	#003366	#9900ff	NA	NA	no	2022-06-02
35	Mekheturi	Мехетури	NA	42.70556	46.2375	Legacy data	NA	Andi	Andic	East Caucasian	Daghestan	NA	1194.90844726563	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Mekheturi	NA	NA	NA	NA	andi1255	#003366	#9900ff	NA	NA	no	2022-06-02
36	Shivor	Шивор	NA	42.714662	46.256637	Legacy data	NA	Andi	Andic	East Caucasian	Daghestan	NA	1873.43334960938	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Shivor	NA	NA	NA	NA	andi1255	#003366	#9900ff	NA	NA	no	2022-06-02
37	Rushukha	Рушуха	NA	42.71509	46.28112	Legacy data	NA	Andi	Andic	East Caucasian	Daghestan	NA	1677.90393066406	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rushukha	NA	NA	NA	NA	andi1255	#003366	#9900ff	NA	NA	no	2022-06-02
38	Chanko	Чанко	NA	42.717936	46.246417	Legacy data	NA	Andi	Andic	East Caucasian	Daghestan	NA	1603.61743164063	FALSE	cercvadze1965	312	Upper Andi	Верхнеандийский	NA	NA	NA	NA	NA	NA	Chanko	NA	NA	NA	NA	andi1255	#003366	#9900ff	NA	NA	no	2022-06-02
39	Khando	Хандо	NA	42.72694	46.23361	Legacy data	NA	Andi	Andic	East Caucasian	Daghestan	NA	1472.67944335938	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Khando	NA	NA	NA	NA	andi1255	#003366	#9900ff	NA	NA	no	2022-06-02
40	Zilo	Зило	NA	42.731394	46.319223	Legacy data	NA	Andi	Andic	East Caucasian	Daghestan	NA	1202.365234375	FALSE	sulejmanov1957	7	Upper Andi	Верхнеандийский	NA	NA	NA	NA	NA	NA	Zilo	Zilo	zilo1238	NA	NA	andi1255	#003366	#9900ff	NA	NA	no	2022-06-02
41	Tsibilta	Цибилта	NA	42.74322	46.24311	Legacy data	NA	Andi	Andic	East Caucasian	Daghestan	NA	1962.23852539062	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Tsibilta	NA	NA	NA	NA	andi1255	#003366	#9900ff	NA	NA	no	2022-06-02
42	Ashali	Ашали	NA	42.76963	46.30878	Legacy data	NA	Andi	Andic	East Caucasian	Daghestan	NA	1573.82092285156	FALSE	cercvadze1965	312	Upper Andi	Верхнеандийский	NA	NA	NA	NA	NA	NA	Ashali	NA	NA	NA	NA	andi1255	#003366	#9900ff	NA	NA	no	2022-06-02
43	Rikvani	Риквани	NA	42.782304	46.319372	Legacy data	NA	Andi	Andic	East Caucasian	Daghestan	NA	1874.55419921875	FALSE	sulejmanov1957	7	Upper Andi	Верхнеандийский	NA	NA	NA	NA	NA	NA	Rikvani	Rikvani	rikv1238	NA	NA	andi1255	#003366	#9900ff	NA	NA	no	2022-06-02
44	Andi	Анди	NA	42.7856	46.2639	Legacy data	NA	Andi	Andic	East Caucasian	Daghestan	NA	1585.87963867188	FALSE	cercvadze1965	312	Upper Andi	Верхнеандийский	NA	NA	NA	NA	NA	NA	Andi	NA	NA	NA	NA	andi1255	#003366	#9900ff	NA	NA	no	2022-06-02
45	Gunkha	Гунха	NA	42.78968	46.28275	Legacy data	NA	Andi	Andic	East Caucasian	Daghestan	NA	1586.26391601563	FALSE	cercvadze1965	312	Upper Andi	Верхнеандийский	NA	NA	NA	NA	NA	NA	Gunkha	NA	NA	NA	NA	andi1255	#003366	#9900ff	NA	NA	no	2022-06-02
46	Gagatli	Гагатли	NA	42.800361	46.292645	Legacy data	NA	Andi	Andic	East Caucasian	Daghestan	NA	1713.54443359375	FALSE	sulejmanov1957	7	Upper Andi	Верхнеандийский	NA	NA	NA	NA	NA	NA	Gagatli	Gagatl	gaga1250	NA	NA	andi1255	#003366	#9900ff	NA	NA	no	2022-06-02
47	Novogagatli	Новогагатли	NA	43.4561	46.4819	Legacy data	NA	Andi	Andic	East Caucasian	Daghestan	NA	20.6917171478271	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Novogagatli	NA	NA	NA	NA	andi1255	#003366	#9900ff	NA	NA	no	2022-06-02
48	Aytkhan	Айтхан	NA	43.69773	46.82498	Legacy data	NA	Andi	Andic	East Caucasian	Daghestan	NA	-8.53425312042236	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Aytkhan	NA	NA	NA	NA	andi1255	#003366	#9900ff	NA	NA	no	2022-06-02
49	Dzhugut	Джугут	NA	43.70835	46.86498	Legacy data	NA	Andi	Andic	East Caucasian	Daghestan	NA	-9.99247932434082	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Dzhugut	NA	NA	NA	NA	andi1255	#003366	#9900ff	NA	NA	no	2022-06-02
50	Kubatl'	Кубатль	NA	42.03659	46.85973	Legacy data	NA	Archi	Lezgic	East Caucasian	Daghestan	NA	2160.43139648437	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Kubatl'	NA	NA	NA	NA	arch1244	#99cc00	#00cc66	NA	NA	no	2022-06-02
51	Alchunib	Алчуниб	NA	42.05196	46.86943	Legacy data	NA	Archi	Lezgic	East Caucasian	Daghestan	NA	2089.67138671875	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Alchunib	NA	NA	NA	NA	arch1244	#99cc00	#00cc66	NA	NA	no	2022-06-02
52	Khilikh	Хилих	NA	42.05838	46.88751	Legacy data	NA	Archi	Lezgic	East Caucasian	Daghestan	NA	2284.55786132813	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Khilikh	NA	NA	NA	NA	arch1244	#99cc00	#00cc66	NA	NA	no	2022-06-02
53	Keserib	Кесериб	NA	42.0647	46.888	Legacy data	NA	Archi	Lezgic	East Caucasian	Daghestan	NA	2487.88452148437	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Keserib	NA	NA	NA	NA	arch1244	#99cc00	#00cc66	NA	NA	no	2022-06-02
54	Archib	Арчиб	NA	42.0664	46.8678	Legacy data	NA	Archi	Lezgic	East Caucasian	Daghestan	NA	2009.66833496094	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Archib	NA	NA	NA	NA	arch1244	#99cc00	#00cc66	NA	NA	no	2022-06-02
55	Kalib	Калиб	NA	42.07054	46.86002	Legacy data	NA	Archi	Lezgic	East Caucasian	Daghestan	NA	2117.40405273438	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Kalib	NA	NA	NA	NA	arch1244	#99cc00	#00cc66	NA	NA	no	2022-06-02
56	Khitab	Хитаб	NA	42.07538	46.867234	Legacy data	NA	Archi	Lezgic	East Caucasian	Daghestan	NA	1982.42175292969	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Khitab	NA	NA	NA	NA	arch1244	#99cc00	#00cc66	NA	NA	no	2022-06-02
57	Karabagly	Карабаглы	NA	44.0089	46.5964	Legacy data	NA	Armenian	Armenic	Indo-European	Daghestan	NA	-12.4388303756714	TRUE	NA	NA	Modern Eastern Armenian	Восточноармянский	NA	NA	NA	NA	NA	NA	Karabagly	NA	NA	NA	NA	nucl1235	#dbcfeb	#fff5ee	NA	Historically Tat-speaking	no	2022-06-02
103	Kusur	Кусур	NA	41.781293	46.949207	Legacy data	NA	Avar	Avar	East Caucasian	Daghestan	NA	2084.48657226563	FALSE	alekseevataev1997	22-26	Southern Avar	Южноаварский	Kusur	Кусурский	NA	NA	NA	NA	Kusur	NA	NA	NA	NA	avar1256	#009999	#009999	NA	NA	no	2022-06-02
105	Kamilukh	Камилух	NA	41.90911	46.63101	Legacy data	NA	Avar	Avar	East Caucasian	Daghestan	NA	2004.74877929687	FALSE	saidova2008	23-28	Southern Avar	Южноаварский	Antsukh	Анцухский	Tomur	Томуринский	NA	NA	Kamilukh	NA	NA	Ancux	ancu1238	avar1256	#009999	#009999	NA	NA	no	2022-06-02
106	Genekolob	Генеколоб	NA	41.916992	46.600199	Legacy data	NA	Avar	Avar	East Caucasian	Daghestan	NA	2052.53295898437	FALSE	saidova2008	23-28	Southern Avar	Южноаварский	Antsukh	Анцухский	Tomur	Томуринский	NA	NA	Genekolob	NA	NA	Ancux	ancu1238	avar1256	#009999	#009999	NA	NA	no	2022-06-02
107	Gerel'	Герель	NA	41.94451	46.551888	Legacy data	NA	Avar	Avar	East Caucasian	Daghestan	NA	1931.5654296875	FALSE	saidova2008	23-28	Southern Avar	Южноаварский	Antsukh	Анцухский	Tomur	Томуринский	NA	NA	Gerel'	NA	NA	Ancux	ancu1238	avar1256	#009999	#009999	NA	NA	no	2022-06-02
108	Betel'da	Бетельда	NA	41.95077	46.54164	Legacy data	NA	Avar	Avar	East Caucasian	Daghestan	NA	1975.10412597656	FALSE	saidova2008	23-28	Southern Avar	Южноаварский	Antsukh	Анцухский	Tomur	Томуринский	NA	NA	Betel'da	NA	NA	Ancux	ancu1238	avar1256	#009999	#009999	NA	NA	no	2022-06-02
109	Gortnob	Гортноб	NA	41.962665	46.525604	Legacy data	NA	Avar	Avar	East Caucasian	Daghestan	NA	1970.58435058594	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gortnob	NA	NA	NA	NA	avar1256	#009999	#009999	NA	NA	no	2022-06-02
110	Ul'geb	Ульгеб	NA	41.964253	46.523688	Legacy data	NA	Avar	Avar	East Caucasian	Daghestan	NA	2043.16650390625	FALSE	saidova2008	23-28	Southern Avar	Южноаварский	Antsukh	Анцухский	Tomur	Томуринский	NA	NA	Ul'geb	NA	NA	Ancux	ancu1238	avar1256	#009999	#009999	NA	NA	no	2022-06-02
111	Salda	Салда	NA	41.97497	46.50848	Legacy data	NA	Avar	Avar	East Caucasian	Daghestan	NA	1906.43286132813	FALSE	saidova2008	23-28	Southern Avar	Южноаварский	Antsukh	Анцухский	Tomur	Томуринский	NA	NA	Salda	NA	NA	Ancux	ancu1238	avar1256	#009999	#009999	NA	NA	no	2022-06-02
112	Choroda	Чорода	NA	41.98096	46.49696	Legacy data	NA	Avar	Avar	East Caucasian	Daghestan	NA	1928.16076660156	FALSE	saidova2008	23-28	Southern Avar	Южноаварский	Antsukh	Анцухский	Tomur	Томуринский	NA	NA	Choroda	NA	NA	Ancux	ancu1238	avar1256	#009999	#009999	NA	NA	no	2022-06-02
113	Gagar	Гагар	NA	41.999252	46.592744	Legacy data	NA	Avar	Avar	East Caucasian	Daghestan	NA	2145.80590820312	FALSE	saidova2008	23-28	Southern Avar	Южноаварский	Antsukh	Анцухский	Bukhnada	Бухнадинский	Tlyanal	Тлянальский	Gagar	NA	NA	Ancux	ancu1238	avar1256	#009999	#009999	NA	NA	no	2022-06-02
114	Tsimguda	Цимгуда	NA	42.01269	46.5665	Legacy data	NA	Avar	Avar	East Caucasian	Daghestan	NA	2191.39086914062	FALSE	saidova2008	23-28	Southern Avar	Южноаварский	Antsukh	Анцухский	Bukhnada	Бухнадинский	Tlyanal	Тлянальский	Tsimguda	NA	NA	Ancux	ancu1238	avar1256	#009999	#009999	NA	NA	no	2022-06-02
115	Tokhota	Тохота	NA	42.0178	46.4639	Legacy data	NA	Avar	Avar	East Caucasian	Daghestan	NA	1841.228515625	FALSE	saidova2008	23-28	Southern Avar	Южноаварский	Antsukh	Анцухский	Bukhnada	Бухнадинский	Tlebel	Тлебельский	Tokhota	NA	NA	Ancux	ancu1238	avar1256	#009999	#009999	NA	NA	no	2022-06-02
116	Tlyanada	Тлянада	NA	42.02864	46.51038	Legacy data	NA	Avar	Avar	East Caucasian	Daghestan	NA	2059.4892578125	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Tlyanada	NA	NA	NA	NA	avar1256	#009999	#009999	NA	NA	no	2022-06-02
117	Saniorta	Саниорта	NA	42.03195	46.44246	Legacy data	NA	Avar	Avar	East Caucasian	Daghestan	NA	2015.05883789063	FALSE	saidova2008	23-28	Southern Avar	Южноаварский	Antsukh	Анцухский	Bukhnada	Бухнадинский	Tlebel	Тлебельский	Saniorta	NA	NA	Ancux	ancu1238	avar1256	#009999	#009999	NA	NA	no	2022-06-02
118	Nitilsukh	Нитилсух	NA	42.04732	46.42938	Legacy data	NA	Avar	Avar	East Caucasian	Daghestan	NA	1975.22106933594	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nitilsukh	NA	NA	NA	NA	avar1256	#009999	#009999	NA	NA	no	2022-06-02
119	Talsukh	Талсух	NA	42.04741	46.40589	Legacy data	NA	Avar	Avar	East Caucasian	Daghestan	NA	1846.36840820313	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Talsukh	NA	NA	NA	NA	avar1256	#009999	#009999	NA	NA	no	2022-06-02
120	Garakolob	Гараколоб	NA	42.048887	46.455015	Legacy data	NA	Avar	Avar	East Caucasian	Daghestan	NA	2067.20190429687	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Garakolob	NA	NA	NA	NA	avar1256	#009999	#009999	NA	NA	no	2022-06-02
121	Ritlyab	Ритляб	NA	42.05087	46.71917	Legacy data	NA	Avar	Avar	East Caucasian	Daghestan	NA	2259.6943359375	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ritlyab	NA	NA	NA	NA	avar1256	#009999	#009999	NA	NA	no	2022-06-02
122	Rosnob	Росноб	NA	42.055	46.41194	Legacy data	NA	Avar	Avar	East Caucasian	Daghestan	NA	1732.82592773438	FALSE	saidova2008	23-28	Southern Avar	Южноаварский	Antsukh	Анцухский	Bukhnada	Бухнадинский	Tlebel	Тлебельский	Rosnob	NA	NA	Ancux	ancu1238	avar1256	#009999	#009999	NA	NA	no	2022-06-02
123	Tsumilukh	Цумилух	NA	42.05974	46.41242	Legacy data	NA	Avar	Avar	East Caucasian	Daghestan	NA	2022.12145996094	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Tsumilukh	NA	NA	NA	NA	avar1256	#009999	#009999	NA	NA	no	2022-06-02
124	Nikar	Никар	NA	42.0737	46.406903	Legacy data	NA	Avar	Avar	East Caucasian	Daghestan	NA	1785.98681640625	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nikar	NA	NA	NA	NA	avar1256	#009999	#009999	NA	NA	no	2022-06-02
125	Barnab	Барнаб	NA	42.07964	46.37894	Legacy data	NA	Avar	Avar	East Caucasian	Daghestan	NA	1709.30212402344	FALSE	saidova2008	23-28	Southern Avar	Южноаварский	Antsukh	Анцухский	Antsrosunkhada	Анцросунхадинский	NA	NA	Barnab	NA	NA	Ancux	ancu1238	avar1256	#009999	#009999	NA	NA	no	2022-06-02
126	Sikar	Сикар	NA	42.07966	46.41127	Legacy data	NA	Avar	Avar	East Caucasian	Daghestan	NA	2072.82348632812	FALSE	saidova2008	23-28	Southern Avar	Южноаварский	Antsukh	Анцухский	Bukhnada	Бухнадинский	NA	NA	Sikar	NA	NA	Ancux	ancu1238	avar1256	#009999	#009999	NA	NA	no	2022-06-02
127	Khamar	Хамар	NA	42.095868	46.383695	Legacy data	NA	Avar	Avar	East Caucasian	Daghestan	NA	2037.03881835937	FALSE	saidova2008	23-28	Southern Avar	Южноаварский	Antsukh	Анцухский	Antsrosunkhada	Анцросунхадинский	NA	NA	Khamar	NA	NA	Ancux	ancu1238	avar1256	#009999	#009999	NA	NA	no	2022-06-02
128	Kutlab	Кутлаб	NA	42.09663	46.32982	Legacy data	NA	Avar	Avar	East Caucasian	Daghestan	NA	1740.69677734375	FALSE	saidova2008	23-28	Southern Avar	Южноаварский	Antsukh	Анцухский	Antsrosunkhada	Анцросунхадинский	NA	NA	Kutlab	NA	NA	Ancux	ancu1238	avar1256	#009999	#009999	NA	NA	no	2022-06-02
129	Goab	Гоаб	NA	42.097185	46.738407	Legacy data	NA	Avar	Avar	East Caucasian	Daghestan	NA	2287.03784179687	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Goab	NA	NA	NA	NA	avar1256	#009999	#009999	NA	NA	no	2022-06-02
130	Nadar	Надар	NA	42.09736	46.36025	Legacy data	NA	Avar	Avar	East Caucasian	Daghestan	NA	1574.46862792969	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nadar	NA	NA	NA	NA	avar1256	#009999	#009999	NA	NA	no	2022-06-02
131	Khadiyal	Хадиял	NA	42.0989	46.4653	Legacy data	NA	Avar	Avar	East Caucasian	Daghestan	NA	1805.21240234375	FALSE	saidova2008	23-28	Southern Avar	Южноаварский	Antsukh	Анцухский	Antsrosunkhada	Анцросунхадинский	NA	NA	Khadiyal	NA	NA	Ancux	ancu1238	avar1256	#009999	#009999	NA	NA	no	2022-06-02
132	Chitab	Читаб	NA	42.10412	46.86914	Legacy data	NA	Avar	Avar	East Caucasian	Daghestan	NA	1987.51989746094	FALSE	saidova2008	23-28	Southern Avar	Южноаварский	Karakh	Карахский	Rissib	Риссибский	NA	NA	Chitab	NA	NA	Karax	kara1473	avar1256	#009999	#009999	NA	NA	no	2022-06-02
133	Tilutl'	Тилутль	NA	42.109079	46.350054	Legacy data	NA	Avar	Avar	East Caucasian	Daghestan	NA	1439.79052734375	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Tilutl'	NA	NA	NA	NA	avar1256	#009999	#009999	NA	NA	no	2022-06-02
134	Tadiyal	Тадиял	NA	42.11099	46.4823	Legacy data	NA	Avar	Avar	East Caucasian	Daghestan	NA	2332.18212890625	FALSE	alekseevataev1997	22-26	Southern Avar	Южноаварский	Antsukh	Анцухский	Bukhnada	Бухнадинский	NA	NA	Tadiyal	NA	NA	Ancux	ancu1238	avar1256	#009999	#009999	NA	NA	no	2022-06-02
135	Kardib	Кардиб	NA	42.111443	46.514655	Legacy data	NA	Avar	Avar	East Caucasian	Daghestan	NA	2094.64208984375	FALSE	alekseevataev1997	22-26	Southern Avar	Южноаварский	Antsukh	Анцухский	Bukhnada	Бухнадинский	NA	NA	Kardib	NA	NA	Ancux	ancu1238	avar1256	#009999	#009999	NA	NA	no	2022-06-02
136	Tokh-Orda	Тох-Орда	NA	42.11174	46.35982	Legacy data	NA	Avar	Avar	East Caucasian	Daghestan	NA	1497.35192871094	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Tokh-Orda	NA	NA	NA	NA	avar1256	#009999	#009999	NA	NA	no	2022-06-02
137	Gindib	Гиндиб	NA	42.11296	46.50397	Legacy data	NA	Avar	Avar	East Caucasian	Daghestan	NA	2013.51049804687	FALSE	alekseevataev1997	22-26	Southern Avar	Южноаварский	Antsukh	Анцухский	Bukhnada	Бухнадинский	NA	NA	Gindib	NA	NA	Ancux	ancu1238	avar1256	#009999	#009999	NA	NA	no	2022-06-02
138	Gilib	Гилиб	NA	42.1169	46.7761	Legacy data	NA	Avar	Avar	East Caucasian	Daghestan	NA	1775.21081542969	FALSE	saidova2008	23-28	Southern Avar	Южноаварский	Karakh	Карахский	Tlesserukh	Тлессерухский	NA	NA	Gilib	NA	NA	Karax	kara1473	avar1256	#009999	#009999	NA	NA	no	2022-06-02
139	Ukal	Укал	NA	42.12163	46.34771	Legacy data	NA	Avar	Avar	East Caucasian	Daghestan	NA	1427.55297851562	FALSE	saidova2008	23-28	Southern Avar	Южноаварский	Antsukh	Анцухский	Antsrosunkhada	Анцросунхадинский	NA	NA	Ukal	NA	NA	Ancux	ancu1238	avar1256	#009999	#009999	NA	NA	no	2022-06-02
140	Karanub	Карануб	NA	42.12262	46.81777	Legacy data	NA	Avar	Avar	East Caucasian	Daghestan	NA	1978.08190917969	FALSE	alekseevataev1997	22-26	Southern Avar	Южноаварский	Karakh	Карахский	Tlesserukh	Тлессерухский	NA	NA	Karanub	NA	NA	Karax	kara1473	avar1256	#009999	#009999	NA	NA	no	2022-06-02
